"@Mahatma150 Here comes it bjp cell ass lickers,stfu morons and respect Gandhi ,I admit there are many who also give… https://t.co/8w8fs9u4wQ",AgarwalAnyway,,[]
1 or 2 don't know the place/places,nagkedi_,,[]
"RT @YourGirlNeha: @AudaciousQuest_ @Mayavi101 @BJP4India @AmitShah @TimesNow Sher might be Typo error by bjp it’s 🐀, they’ll correct it aft…",VazeIndian,मुम्बई,[]
"RT @RahulGandhi: On the anniversary of Gandhi Ji’s historic Dandi March, the Congress Working Committee in Ahmedabad, resolved to defeat th…",VIPINTHAMPI75,"Kerala, India",[]
RT @iAsura_: Putin’s stand on upcoming elections now crystal clear. BJP should watch out. It’s serious. https://t.co/DhMzsbU9v6,rahulnamo1700,,[]
"REGIONAL | 4 MPs From Assam Have ‘Criminal Record’
#Assam #Assamnews #Criminalrecord #BadruddinAjmal #SusmitaDev… https://t.co/6NKr38UMZy",pratidintime,"Guwahati, India","['Assam', 'Assamnews', 'Criminalrecord', 'BadruddinAjmal', 'SusmitaDev']"
"RT @waglenikhil: 15 BJP ministers, MLAs in Arunachal join NPP | India News - Times of India https://t.co/8jdIqsxbDm",SunitaAdmuthe,,[]
RT @rohini_sgh: Has the BJP abandoned the #ModiHainTohMumkinHain campaign now for the Chowkidaar one? Waiting for media panna pramukhs to e…,krix3L,"Puttur, India",['ModiHainTohMumkinHain']
"RT @irobertvadra: Disgraceful remarks by the BJP ministers against women of our country ... Get up people of India, act n revolt for the be…",2000devesh,New delhi ,[]
"@iMac_too @BJP4India Thanks for picking this up...

And then BJP complaints that no intellectual sides with it... o… https://t.co/dhVSo6SNJ9",englisbabu,Mumbai,[]
RT @RoshanKrRai: Send party workers and supporters to opposition rallies and public meetings and make them shout ' Modi Modi ' like lunatic…,amit14061988,"Mumbai, India",[]
RT @India_Policy: BJP to contest 437 seats in the #LS2019. 20 parties join the NDA alliance.,HarishS66284892,,['LS2019']
"#BJPVsTukdeLobby: Why is Congress afraid of young and women in the country: @amitmalviya, Spokesperson, BJP https://t.co/JBmVNbnYSL",TimesNow,India,['BJPVsTukdeLobby']
"RT @Mayawati: After BJP launch 'Mai Bhi Chowkidar' campaign, PM Modi &amp; others added the prefix 'Chowkidar' to their Twitter handles. So now…",Shahed67772452,,[]
"RT @RahulGandhi: The North Eastern states face some unique problems when it comes to transportation and connectivity. 

Unlike the BJP, we…",JYKMR10,,[]
